RegionID,RegionName,City,State,Metro,CountyName,SizeRank,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,Avg
60656,07410,Fair Lawn,NJ,New York,Bergen,2830,359200,356200,353800,352200,352400,353100,355000,358000,362500,364900,366300,367500,368400,366800,366600,370100,374200,376700,378800,381600,384700,386700,387700,388700,388800,390200,392900,394500,393700,393100,392900,394100,395100,397200,398500,399200,400700,404100,405900,405100,404900,407400,410000,410200,409300,409000,411500,415300,416500,414400,413600,417400,421300,421300,419900,421400,423700,424800,424700,424000,391645
60750,07666,Teaneck,NJ,New York,Bergen,2072,375400,372800,371200,370500,369300,368100,370100,372100,371700,371300,372900,376100,377700,377200,377600,379100,380700,383400,384400,384000,386300,387300,386400,386200,386700,387100,388300,390300,391600,391200,388900,389600,390900,391000,390200,391100,391000,391500,391100,390800,392400,394800,395700,396000,396500,397300,399100,402400,406200,408900,410100,411300,411800,412300,414600,417800,421100,425600,428400,429100,391075
61167,08751,Ortley Beach,NJ,New York,Ocean,8843,429700,429300,427900,417700,402300,390200,384500,384600,385000,384700,388200,389400,387300,388600,392700,394200,395400,390400,379300,368100,364800,365100,364400,362400,363100,364200,363900,368200,374200,381000,388300,394500,391500,387000,385500,389200,393600,393500,388700,386000,389300,395100,399300,399200,397100,395800,394800,393700,390300,385700,387800,395600,399400,399400,401400,406000,410400,411500,410700,411400,390875
61171,08755,Toms River,NJ,New York,Ocean,3840,360900,361700,364400,364400,362900,360300,358000,357800,358700,360200,363100,367100,370600,373100,374400,376200,378000,379200,381200,384300,385700,386500,388500,388900,386200,383700,385600,389400,392500,394700,395300,393600,392400,392400,392600,393800,395200,396900,398300,398100,396700,396900,398100,399700,401200,402400,401800,401900,402800,402600,401100,402200,403900,405600,407200,408700,409600,411200,413600,417800,387863
61093,08527,Jackson,NJ,New York,Ocean,488,355400,355100,356300,357000,353800,348800,346200,346800,348800,352200,357300,361400,363900,367100,370100,372700,376000,378500,380600,383500,386100,387700,389900,390300,388500,387400,389000,392000,396900,403100,406400,405300,403600,403600,402700,400200,398400,398400,398700,397800,397300,398000,398800,399300,400300,402000,403600,404500,403800,403300,404400,405400,404400,403200,405100,409100,412400,414500,417900,421600,387773
60788,07747,Matawan,NJ,New York,Monmouth,2764,353500,353700,354500,355700,355900,355200,354600,355100,355000,354400,355200,357400,359400,360400,361700,362300,363400,365500,367000,368400,370900,372800,372700,372300,373100,375200,376500,377600,381100,385700,389300,392400,394600,396500,398300,399500,400300,401700,402400,402900,402400,402000,402700,403500,404300,406000,407600,407900,407200,406300,406400,407200,407900,408300,408600,409500,409300,407600,407100,409200,383918
60563,07052,West Orange,NJ,New York,Essex,1028,350600,349400,345800,341400,340700,342300,343500,345100,345700,341800,339500,340400,341700,343200,346600,350000,352800,356500,360000,362100,362000,362400,361700,360600,361000,364500,367200,370000,374200,378700,382200,386800,391400,396300,400000,402000,404100,406600,407200,408100,411000,413000,410800,406300,402800,400600,399300,398100,398900,402700,407100,408300,405800,404900,410400,420000,430000,436600,442000,445000,380662
60550,07035,Lincoln Park,NJ,New York,Morris,7021,371800,370800,369100,366800,364200,364900,369200,373400,372900,371100,369900,368500,366300,366400,368500,369700,370200,371500,373800,376200,378200,376700,374800,375600,376800,374800,372700,374400,378200,380600,381300,382100,382800,384500,385200,383100,381400,382000,384200,386300,386000,382800,382200,384000,384400,383100,383700,384600,383500,383200,385600,387200,388600,389600,387100,382600,382300,385500,388100,389000,378233
60737,07646,New Milford,NJ,New York,Bergen,5827,353100,353100,349200,346400,345600,345400,345700,347000,348500,350000,351000,353500,357300,358300,358200,360300,362600,363600,365200,368100,371400,373100,374500,376600,377200,376300,377600,379500,379000,377600,376400,375200,374300,374000,373400,373600,375500,378500,379000,377100,379300,385000,389100,390400,390800,392000,396600,401700,404600,405500,406100,408900,411400,412200,413600,417200,419300,418700,417800,417600,377995
60853,07876,Succasunna,NJ,New York,Morris,7409,382600,379900,374600,369500,365500,363900,363900,364700,365200,366600,367000,366700,366900,368700,371100,373100,373200,371700,370600,372500,376600,379100,380300,381900,384300,384700,383700,385600,389900,391400,389800,386100,382300,381400,381900,380300,378600,376700,377300,379600,382300,383300,384200,383400,380500,377200,376000,376000,375800,378100,381900,385200,386900,385400,381400,378100,378100,379100,380300,382000,377743
